Ep_No,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken_in_Prec,Equity_Asked_in_Prec,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken_in_Prec,Namita_Amount_Invested,Namita_Equity_Taken_in_Prec,Anupam_Amount_Invested,Anupam_Equity_Taken_in_Prec,Vineeta_Amount_Invested,Vineeta_Equity_Taken_in_Prec,Aman_Amount_Invested,Aman_Equity_Taken_in_Prec,Peyush_Amount_Invested,Peyush_Equity_Taken_in_Prec,Ghazal_Amount_Invested,Ghazal_Equity_Taken_in_Prec,Total_investors,Partners,Unwanted
1,BluePine Industries,2,1,Delhi,Frozen Momos,Food,75 lakhs for 16 perct equity,75,50,0,0,16,5,35 to 40,3,25,5.33,0,0,0,0,25,5.33,25,5.33,0,0,0,0,3,Ama Ash Vin,0
1,Booz scooters,1,0,Ahemdabad,Renting e bike for mobility in private spaces,Automobile,40 lakhs for 50 perct equity,40,40,0,0,50,15,25 to 30,1,20,25,0,0,0,0,20,25,0,0,0,0,0,0,2,Ash Vin,0
1,Heart up my Sleeves,0,1,Delhi,Detachable Sleeves,Clothes,25 lakhs for 30 perct equity,25,25,0,0,30,10,20 to 25,1,0,0,0,0,12.5,15,12.5,15,0,0,0,0,0,0,2,Anu Vin,0
2,Tagz Foods,2,0,Bangalore,Healthy Potato Chips,Food,70 lakhs for 2.75 perct equity,70,70,0,0,2.75,1,35 to 40,2,70,2.75,0,0,0,0,0,0,0,0,0,0,0,0,1,Ash,0
2,Head and Heart,1,1,Delhi,Brain Development Course,Health,No Deal,0,50,0,0,0,5,50 to 55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Agro tourism,1,1,Baramati,Tourism,Tourism,No Deal,0,50,0,0,0,5,50 to 55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Qzense Labs,0,2,Delhi,Food Freshness Detector,Food,No Deal,0,100,0,0,0,0.25,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Peeschute,1,0,Jalna,Disposable Urine Bag,Health,75 lakhs for 6 perct equity,75,75,0,0,6,4,30 to 35,1,0,0,0,0,0,0,0,0,75,6,0,0,0,0,1,Ama,0
3,NOCD,2,0,Bangalore,Energy Drink,Food,20 lakhs for 15 perct equity and 30 lakhs debt,20,50,30,0,15,2,30 to 35,2,0,0,0,0,0,0,50,15,0,0,0,0,0,0,1,Vin,0
4,CosIQ,1,1,Delhi,Intelligent Skincare,Health,50 lakhs for 25 perct equity,50,50,0,0,25,7.5,25 to 30,2,0,0,0,0,25,12.5,25,12.5,0,0,0,0,0,0,2,Anu Vin,0
4,JhaJi Achaar,0,2,Darbhanga,Pickle,Food,No Deal,0,50,0,0,0,10,45 to 50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bummer,1,0,Ahemdabad,Underwear,Clothes,75 lakhs for 7.5 perct equity,75,75,0,0,7.5,4,20 to 25,1,0,0,37.5,3.75,0,0,0,0,37.5,3.75,0,0,0,0,2,Ama Nam,0
5,Revamp Moto,3,0,Nashik,E Bike,Automobile,1 crore for 1.5 perct equity,100,100,0,0,1.5,1,25 to 30,3,0,0,0,0,50,0.75,0,0,50,0.75,0,0,0,0,2,Ama Anu,0
5,Hungry Heads,2,0,Mumbai,Restaurant serving 80 types of Maggi,Food,No Deal,0,50,0,0,0,5,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Shrawani Engineers,2,0,Pune,Belly Button Shaper,Lifestyle,No Deal,0,10,0,0,0,20,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Skippi Pops,1,1,Hyderabad,Ice Pops,Food,1 crore for 15 perct equity,100,45,0,0,15,5,35 to 40,2,20,3,20,3,20,3,20,3,20,3,0,0,0,0,5,Ama Anu Ash Nam Vin,0
6,Menstrupedia,1,1,Ahemdabad,Menstrual Awareness Comic,Health,50 lakhs for 20 perct equity,50,50,0,0,20,10,35 to 40,2,0,0,50,20,0,0,0,0,0,0,0,0,0,0,1,Nam,0
6,Hecolll,0,1,Hyderabad,Pollution Resistant Fabric,Clothes,No Deal,0,100,0,0,0,1,35 to 40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Raising Superstars,1,1,Mumbai,Child Development App,Lifestyle,1 crore for 4 perct equity,100,100,0,0,4,2,35 to 40,2,50,2,0,0,0,0,0,0,50,2,0,0,0,0,2,Ama Ash,0
7,Torch it,1,0,Ahemdabad,Gadgets for visually impaired people,Health,No Deal,0,75,0,0,0,1,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,La Kheer Deli,1,2,Pune,Kheer in variety of flavors,Food,No Deal,0,50,0,0,0,7.5,35 to 40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Beyond Snack,1,0,Kerela,Kerala Banana Chips,Food,50 lakhs for 2.5 perct equity,50,50,0,0,2.5,2.5,30 to 35,1,25,1.25,0,0,0,0,0,0,25,1.25,0,0,0,0,2,Ama Ash,0
8,Vivalyf Innovations Easy Life,1,1,Hyderabad,Prickless Diabetes Testing Machine,Health,56 lakhs for 33.33 perct equity,56,56,0,0,33.33,7.5,20 to 25,1,0,0,0,0,28,16.66,0,0,0,0,28,16.66,0,0,2,Anu Pey,0
8,Motion Breeze,3,0,Gujarat,Smart Electric Motorcycle,Automobile,30 lakhs for 6 perct equity,30,30,0,0,6,3,25 to 30,3,30,6,0,0,0,0,0,0,0,0,0,0,0,0,1,Ash,0
9,Altor,4,0,Kolkata,Smart Helmets,Automobile,50 lakhs for 7 perct equity,50,50,0,0,7,5,25 to 30,4,0,0,25,3.5,0,0,0,0,25,3.5,0,0,0,0,2,Ama Nam,0
9,Ariro,1,1,Chennai,Wooden Toys,Lifestyle,50 lakhs for 10 perct equity,50,50,0,0,10,2.5,35 to 40,2,0,0,0,0,0,0,0,0,25,5,25,5,0,0,2,Ama Pey,0
9,Kabira Handmade,1,1,Jaipur,Healthy Oils,Food,No Deal,0,100,0,0,0,5,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Nuutjob,0,2,Ahemdabad,Male Intimate Hygiene,Health,25 lakhs for 20 perct equity,25,25,0,0,20,5,20 to 25,2,0,0,8.3,6.6,0,0,0,0,8.3,6.6,8.3,6.6,0,0,3,Ama Nam Pey,0
10,Meatyour,3,0,Pune,Eggs,Food,30 lakhs for 20 perct equity,30,30,0,0,20,5,35 to 40,3,0,0,0,0,10,6.6,0,0,10,6.6,10,6.6,0,0,3,Ama Anu Pey,0
10,EventBeep,2,1,Pune,Student Community App,Lifestyle,30 lakhs for 3 perct equity,30,30,0,0,3,2,20 to 25,3,10,1,0,0,0,0,0,0,10,1,10,1,0,0,3,Ama Ash Pey,0
11,Gopal 56,1,0,Delhi,Fiber Ice Cream,Food,No Deal,0,30000,0,0,0,25,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARRCOAT Surface Textures,3,0,Delhi,Wall Building,Lifestyle,50 lakhs for 15 perct equity,50,50,0,0,15,5,35 to 40,3,0,0,0,0,50,15,0,0,0,0,0,0,0,0,1,Anu,0
11,Farda,1,1,Nagpur,Customised Streetwear,Lifestyle,30 lakhs for 20 perct equity,30,30,0,0,20,10,20 to 25,2,0,0,15,10,0,0,0,0,15,10,0,0,0,0,2,Ama Nam,0
12,Auli Lifestyle,0,1,Kolkata,Ayurvedic Products,Health,75 lakhs for 15 perct equity,75,75,0,0,15,4,25 to 30,1,0,0,75,15,0,0,0,0,0,0,0,0,0,0,1,Nam,0
12,SweeDesi,1,1,Pune,Indian Sweets,Food,No Deal,0,40,0,0,0,3,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,LOKA,1,1,Delhi,Metaverse App,Technology,40 lakhs for 24 perct equity,40,40,0,0,24,5,20 to 25,1,0,0,0,0,13.3,8,0,0,13.3,8,13.3,8,0,0,3,Ama Anu Pey,0
13,Annie,3,1,Bangalore,Braille Literary Device,Health,1.05 crore at 3 perct equity,105,30,0,0,3,0.5,20 to 25,4,0,0,35,1,35,1,0,0,0,0,35,1,0,0,3,Anu Nam Pey,0
13,Caragreen,0,2,Indore,Eco Friendly boxes,Lifestyle,50 lakhs for 20 perct equity,50,50,0,0,20,10,40 to 45,2,0,0,0,0,25,10,0,0,0,0,25,10,0,0,2,Anu Pey,0
13,The Yarn Bazaar,1,0,Mumbai,Yarn Trading App,Clothes,1 crore for 10 perct equity,100,50,0,0,10,2,30 to 35,1,25,2.5,0,0,25,2.5,0,0,25,2.5,25,2.5,0,0,4,Ama Anu Ash Pey,0
14,The Renal Project,2,0,Mumbai,Home Dialysis Treatment,Health,1 crore at 6 perct equity,100,100,0,0,6,3,30 to 35,2,0,0,50,3,0,0,0,0,50,3,0,0,0,0,2,Ama Nam,0
14,Morikko Pure Foods,2,1,Valsad,Healthy Food Snacks,Food,No Deal,0,100,0,0,0,3,45 to 50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Good Good Piggy Bank,0,1,Delhi,Digital Piggy Bank,Lifestyle,No Deal,0,45,0,0,0,5,25 to 30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hammer Lifestyle,1,0,Panipat,Smart Audio Products,Lifestyle,1 crore for 40 perct equity,100,30,0,0,40,3,25 to 30,1,0,0,0,0,0,0,0,0,100,40,0,0,0,0,1,Ama,0
15,PNT,2,0,Mumbai,Robotics and Automation Solutions,Technology,25 lakhs for 25 perct equity and 25 lakhs debt,25,50,25,0,25,4,20 to 25,2,0,0,0,0,0,0,0,0,0,0,50,50,0,0,1,Pey,0
15,Cocofit,0,0,Hyderabad,Coconut based beverage franchise,Food,5 for 5 perct equity,5,0.005,0,0,5,5,35 to 40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ama Anu Nam,0
16,Bamboo India,1,1,Pune,Bamboo Products,Lifestyle,50 lakhs at 3.5 perct Equity and 30 lakhs Debt,50,80,30,0,3.5,4,40 to 45,2,40,1.75,0,0,40,1.75,0,0,0,0,0,0,0,0,2,Anu Ash,0
16,Flying Furr,3,1,Delhi,Dog Hygiene,Food,No Deal,0,75,0,0,0,7,25 to 30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Beyond Water,1,1,Kolkata,Liquid Water Enhancer,Lifestyle,75 lakhs for 15 perct Equity,75,75,0,0,15,4,30 to 35,2,0,0,37.5,7.5,0,0,0,0,37.5,7.5,0,0,0,0,2,Ama Nam,0
16,Lets Try,1,3,Delhi,Healthy Snacks,Food,45 lakhs for 12 perct Equity,45,45,0,0,12,2,45 to 50,4,0,0,0,0,22.5,6,0,0,22.5,6,0,0,0,0,2,Ama Anu,0
17,Find Your Kicks India,3,0,Ludhiana,Sneaker Resale,Lifestyle,50 lakhs for 25 perct equity,50,50,0,0,25,10,20 to 25,3,10,5,10,5,10,5,0,0,10,5,10,5,0,0,5,Ama Anu Ash Nam Pey,0
17,Aas Vidyalaya,1,1,Mumbai,EdTech App,Technology,1.5 Crore for 15 perct Equity,150,150,0,0,15,3,50 to 55,2,50,3,50,3,0,0,0,0,0,0,50,3,0,0,3,Ash Nam Pey,0
17,Outbox,1,1,Kolkata,Premium Suprise Planning,Lifestyle,No Deal,0,50,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,RoadBounce,1,0,Pune,Pothole Detection Software and Data,Technology,80 Lakhs for 20 perct Equity,80,80,0,0,20,10,45 to 50,1,0,0,0,0,0,0,0,0,0,0,80,20,0,0,1,Pey,0
18,Mommys Kitchen,2,1,Bangalore,Thin Crust Pizza,Food,No Deal,0,90,0,0,0,3,45 to 50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,India Hemp and Co,0,1,Bangalore,Hemp Food Products,Food,No Deal,0,50,0,0,0,4,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Otua,2,0,Gurgaon,Electric Auto Vehicle,Automobile,1 lakh for 1 perct equity and 99 lakhs Debt,1,100,99,0,1,1,41 to 45,2,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Ash,0
18,Anthyesti,0,1,Kolkata,Funeral Service,Lifestyle,No Deal,0,50,0,0,0,2.5,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ethik,2,0,Bangalore,Leather free Shoes,Lifestyle,No Deal,0,15,0,0,0,5,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,WeSTOCK,2,0,Kerela,Livestock health monitoring AI,Technology,60 lakhs for 10 perct equity,50,50,0,0,10,5,35 to 40,2,12.5,2.5,12.5,2.5,0,0,0,0,12.5,2.5,12.5,2.5,0,0,4,Ama Ash Nam Pey,0
19,KetoIndia,1,1,Delhi,Customised Keto Diets for various medical issues,Health,No Deal,0,150,0,0,0,1.25,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Magic lock,3,0,Unknown,LPG Cylinder lock,Lifestyle,No Deal,0,120,0,0,0,8,40 to 45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,The State Plate,1,1,Bangalore,Delicacies,Food,40 Lakhs for 3 perctequity and 25 Lakhs Debt,40,65,25,0,3,2,20 to 25,2,0,0,0,0,0,0,0,0,0,0,65,3,0,0,1,Pey,0
20,Bakarmax,1,0,Delhi,Comics & Animation,Lifestyle,No Deal,0,35,0,0,0,5,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,IN A CAN,2,0,Pune,Can Cocktails,Food,1 Crore for 10  perct equity,100,50,0,0,10,2,30 to 35,2,20,2,20,2,20,2,0,0,20,2,20,2,0,0,5,Ama Anu Ash Nam Pey,0
21,Get a Whey,1,1,Mumbai,Sugar Free Icecream,Food,1 Crore for 15 perct equity,100,100,0,0,15,8,40 to 45,2,33.33,5,0,0,0,0,33.33,5,33.33,5,0,0,0,0,3,Ama Ash Pey,0
21,Sid 07 Designs,1,0,Jammu,Inventions,Technology,25 Lakhs for 75 perct equity and 22 lakhs Debt,25,47,22,0,75,10,25 to 30,1,0,0,0,0,0,0,0,0,0,0,47,75,0,0,1,Pey,0
21,The Quirky Nari,0,1,Mathura,Customised Apparels,Lifestyle,35 lakhs for 24 perct equity,35,35,0,0,24,5,25 to 30,1,0,0,0,0,17.5,12,17.5,12,0,0,0,0,0,0,2,Anu Vin,0
22,Hair Originals,3,0,Gurgaon,Natural Hair Extensions,Lifestyle,60 Lakhs for 4 perct equity,60,60,0,0,4,2,40 to 45,3,20,1.3,0,0,20,1.3,0,0,0,0,20,1.3,0,0,3,Anu Ash Pey,0
22,Poo de Cologne,0,1,Mumbai,Toilet Spray with Essential Oils,Lifestyle,No Deal,0,75,0,0,0,5,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Moonshine Meads,2,0,Pune,Meads,Food,No Deal,0,80,0,0,0,0.5,40 to 45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Falhari,3,0,Gurgaon,Fresh Fruits,Food,No Deal,0,50,0,0,0,2,25 to 30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Namhya Foods,0,1,Jammu,Ayurvedic Enriched Food,Food,50 lakhs for 10 perct Equity amd 50 lakhs Debt,50,100,50,0,10,5,25 to 30,1,0,0,0,0,0,0,0,0,100,10,0,0,0,0,1,Ama,0
23,Urban Monkey,1,0,Mumbai,Streetwear,Lifestyle,No Deal,0,100,0,0,0,1,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Guardian Gears,1,1,Secundarabad,Motorcycle Luggage,Automobile,No Deal,0,30,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Modern Myth,1,1,Delhi,Bags,Lifestyle,No Deal,0,75,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,The Sass Bar,0,1,Mumbai,Gifts,Lifestyle,50 lakhs for 35 perct Equity,50,40,0,0,35,8,30 to 35,1,0,0,0,0,25,17.5,0,0,0,0,0,0,25,17.5,2,Anu Gha,0
24,KG Agrotech,2,0,Malegaon,Agricultural Innovations,Technology,10 lakhs for 40 perct Equity and 20 lakhs Debt,10,30,20,0,40,10,25 to 30,2,0,0,0,0,0,0,0,0,0,0,30,40,0,0,1,Pey,0
24,Nuskha Kitchen,1,1,Jaipur,Homemade Foods,Food,No Deal,0,20,0,0,0,10,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,PawsIndia,1,1,Bombay,Dog Products,Food,50 lakhs for 15 perct Equity,50,50,0,0,15,4,25 to 30,2,0,0,0,0,50,15,0,0,0,0,0,0,0,0,1,Anu,0
25,Sunfox Technologies,4,0,Dehradun,Portable ECG Device,Health,1 crore for 6 perct Equity,100,100,0,0,6,2,30 to 35,4,0,0,20,1.2,20,1.2,20,1.2,0,0,20,1.2,20,1.2,5,Anu Gha Nam Pey Vin,1
25,Alpino,4,0,Surat,Roasted Peanut Products,Food,No Deal,0,150,0,0,0,2,25 to 30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Isak Fragrances,0,1,Lucknow,Perfumes,Lifestyle,50 lakhs for 50 perct Equity,50,50,0,0,50,8,30 to 35,1,0,0,0,0,0,0,0,0,0,0,50,50,0,0,1,Pey,0
26,Julaa Automation,3,0,Gujarat,Automatic Cradle,Technology,No Deal,0,50,0,0,0,10,30 to 35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Rare Planet,2,0,Kolkata,Handicrafts,Lifestyle,65 lakhs for 3 perct Equity,65,65,0,0,3,1,30 to 35,2,0,0,65,3,0,0,0,0,0,0,0,0,0,0,1,Nam,0
27,Theka Coffee,1,0,Gujarat,Coffee Products,food,No Deal,0,50,0,0,0,10,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Watt Technovations,0,0,0,Ventilated PPE Kits,0,101 for 4 perct Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ama Anu Nam Pey,0
27,Aliste Technologies,6,0,Noida,Automation Solutions,Technology,No Deal,0,60,0,0,0,5,20 to 25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Insurance Samadhan,2,1,Noida,Insurance Solutions,Finance,1 Crore for 4 perct Equity,100,100,0,0,4,1,30 to 35,5,0,0,0,0,0,0,0,0,0,0,100,4,0,0,1,Pey,0
28,Humpy A2,2,1,Pune,Organic Milk Products,Food,1 Crore for 15 perct Equity,100,100,0,0,15,15,35 to 40,3,0,0,0,0,0,0,33.33,5,0,0,33.33,5,33.33,5,3,Gha Pey Vin,1
28,Kunafa World,1,1,Bangalore,Kunafa,Food,No Deal,0,90,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Gold Safe Solutions Ind.,2,0,Mumbai,Anti Suicidal Fan Rod,Safety,50 lakhs for 30 perct Equity,50,50,0,0,30,5,30 to 35,2,0,0,0,0,0,0,16.6,10,0,0,16.6,10,16.6,10,3,Gha Pey Vin,1
29,Wakao Foods,1,0,Goa,Jackfruit Products,Food,75 lakhs for 21 perct Equity,75,75,0,0,21,5,30 to 35,1,0,0,25,7,0,0,25,7,0,0,0,0,25,7,3,Gha Nam Vin,0
29,PDD Falcon,1,1,Kaithal,Stainless Steel Items,Lifestyle,No Deal,0,75,0,0,0,3,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,PlayBox TV,2,0,Mumbai,Streaming Platform,Lifestyle,No Deal,0,100,0,0,0,3.5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Sippline Drinking Shields,1,0,Pune,Portable Glass Attachment,Lifestyle,No Deal,0,75,0,0,0,15,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Kabaddi Adda,2,1,Mumbai,Kabaddi Adda,Entertainment,80 lakhs for 6 perct Equity,80,80,0,0,6,1,35 to 40,3,0,0,40,3,0,0,40,3,0,0,0,0,0,0,2,Nam Vin,0
30,Shades of Spring,1,1,Bangalore,Flowers,Lifestyle,No Deal,0,300,0,0,0,1,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Scholify,1,0,Bangalore,Scholarship Platform,Education,No Deal,0,50,0,0,0,7.5,25 to 30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
